primary_flat_label,n_hobby_channels,pct_hobby_channels
Hobby/General interests,10786,0.5679233361415332
Fashion/Beauty,1600,0.08424599831508
Music,1148,0.0604465037910699
Film/TV/Humor,1108,0.0583403538331929
Food,906,0.047704296545914
Technology,806,0.0424389216512215
Pets/Animals,767,0.0403854254422914
Vehicles/Motorsport,601,0.0316449031171019
Travel,371,0.0195345408593091
Sports,291,0.0153222409435551
Education/Explainers,178,0.0093723673125526
Video games,167,0.0087931760741364
Health/Fitness,123,0.0064764111204717
News/Society/Politics,99,0.0052127211457455
Religion,41,0.0021588037068239
