primary_flat_label,n_nonempty_channels,pct_nonempty_channels
Music,44371,0.2244768900760887
Film/TV/Humor,32961,0.1667526711996114
Video games,21104,0.1067670390157034
Lifestyle/General,20790,0.1051784847013113
News/Society/Politics,12658,0.0640379634126598
Hobby/General interests,10786,0.0545673466083859
Food,10493,0.0530850331876315
Sports,6570,0.0332382224380767
Vehicles/Motorsport,5815,0.0294186093572931
Religion,5458,0.0276125141654524
Technology,5238,0.0264995143273433
Health/Fitness,5082,0.0257102962603205
Education/Explainers,4031,0.0203931924882629
Pets/Animals,3701,0.0187236927310992
Entertainment/General,3682,0.0186275700178079
Fashion/Beauty,3246,0.0164218067022826
Travel,1678,0.0084891533106686
