row_rank,col_rank,label_a,label_b,role_a,role_b,denominator_channels,n_lifestyle_channels,n_entertainment_channels,n_a_channels,n_b_channels,n_a_lifestyle_channels,n_a_entertainment_channels,n_b_lifestyle_channels,n_b_entertainment_channels,n_both_channels,prevalence_a,prevalence_b,prevalence_a_in_lifestyle,prevalence_a_in_entertainment,prevalence_b_in_lifestyle,prevalence_b_in_entertainment,joint_prevalence,conditional_b_given_a,conditional_a_given_b,jaccard,lift_vs_independence
1,1,Film,Film,Entertainment,Entertainment,134294,95264,68261,37403,37403,10006,37342,10006,37342,37403,0.2785157937063457,0.2785157937063457,0.1050344306348673,0.5470473623298809,0.1050344306348673,0.5470473623298809,0.2785157937063457,1.0,1.0,1.0,3.590460658235971
1,2,Film,Hobby,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,18990,10006,37342,18987,3507,892,0.2785157937063457,0.1414061685555572,0.1050344306348673,0.5470473623298809,0.1993092878736983,0.0513763349496784,0.006642143357112,0.023848354410074,0.0469720905739863,0.0160717824904055,0.1686514432409945
1,3,Film,Television_program,Entertainment,Entertainment,134294,95264,68261,37403,8253,10006,37342,1224,8118,5726,0.2785157937063457,0.0614547187513961,0.1050344306348673,0.5470473623298809,0.0128485052065838,0.1189258874027629,0.0426377946892638,0.1530893243857444,0.6938083121289228,0.1434009516654144,2.491091449056
1,4,Film,Food,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,10724,10006,37342,10685,1322,312,0.2785157937063457,0.0798546472664452,0.1050344306348673,0.5470473623298809,0.1121619919381928,0.0193668419741873,0.0023232609051781,0.0083415768788599,0.0290936217829168,0.0065251490118163,0.1044595044171599
1,5,Film,Humour,Entertainment,Entertainment,134294,95264,68261,37403,7227,10006,37342,2797,7043,5073,0.2785157937063457,0.0538147646209063,0.1050344306348673,0.5470473623298809,0.0293605139402082,0.103177509851892,0.0377753287563107,0.1356308317514638,0.7019510170195101,0.1282453168844957,2.5203275106172796
1,6,Film,Technology,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,6053,10006,37342,6052,420,175,0.2785157937063457,0.0450727508302679,0.1050344306348673,0.5470473623298809,0.0635287201881088,0.0061528544849914,0.0013031110846352,0.0046787690826939,0.0289112836609945,0.0040433446546983,0.1038048265639013
1,7,Film,Health,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,5982,10006,37342,5929,487,94,0.2785157937063457,0.0445440600473587,0.1050344306348673,0.5470473623298809,0.0622375713805844,0.0071343812718829,0.0006999568111754807,0.0025131673929898,0.0157138080909394,0.0021713520131205,0.0564198097415883
1,8,Film,Vehicle,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,5933,10006,37342,5926,432,80,0.2785157937063457,0.0441791889436609,0.1050344306348673,0.5470473623298809,0.0622060799462546,0.0063286503274197,0.0005957079244046644,0.0021388658663743,0.0134839035900893,0.0018494544109487,0.0484134253596625
1,9,Film,Pet,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,4148,10006,37342,4136,1574,184,0.2785157937063457,0.0308874558803818,0.1050344306348673,0.5470473623298809,0.0434161907961034,0.0230585546651821,0.0013701282261307,0.004919391492661,0.0443587270973963,0.0044479899436749,0.1592682644926274
1,10,Film,Fashion,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,3468,10006,37342,3461,245,29,0.2785157937063457,0.0258239385229422,0.1050344306348673,0.5470473623298809,0.0363306180718844,0.003589165116245,0.00021594412259669083,0.0007753388765607037,0.0083621683967704,0.000710053376426228,0.0300240366461485
1,11,Film,Tourism,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,2441,10006,37342,2441,207,82,0.2785157937063457,0.0181765380433973,0.1050344306348673,0.5470473623298809,0.0256235303997312,0.0030324782818886,0.000610600622514781,0.0021923375130337,0.0335927898402294,0.0020622705095317,0.1206135903217327
1,12,Film,Physical_fitness,Entertainment,Lifestyle_(sociology),134294,95264,68261,37403,2371,10006,37342,2371,259,29,0.2785157937063457,0.0176552936095432,0.1050344306348673,0.5470473623298809,0.0248887302653678,0.0037942602657447,0.00021594412259669083,0.0007753388765607037,0.0122311261071277,0.0007296515284941502,0.0439153770935652
2,1,Hobby,Film,Lifestyle_(sociology),Entertainment,134294,95264,68261,18990,37403,18987,3507,10006,37342,892,0.1414061685555572,0.2785157937063457,0.1993092878736983,0.0513763349496784,0.1050344306348673,0.5470473623298809,0.006642143357112,0.0469720905739863,0.023848354410074,0.0160717824904055,0.1686514432409945
2,2,Hobby,Hobby,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,18990,18987,3507,18987,3507,18990,0.1414061685555572,0.1414061685555572,0.1993092878736983,0.0513763349496784,0.1993092878736983,0.0513763349496784,0.1414061685555572,1.0,1.0,1.0,7.0718272775144815
2,3,Hobby,Television_program,Lifestyle_(sociology),Entertainment,134294,95264,68261,18990,8253,18987,3507,1224,8118,116,0.1414061685555572,0.0614547187513961,0.1993092878736983,0.0513763349496784,0.0128485052065838,0.1189258874027629,0.0008637764903867633,0.0061084781463928,0.0140554949715255,0.0042761824012976,0.0993980327386017
2,4,Hobby,Food,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,10724,18987,3507,10685,1322,913,0.1414061685555572,0.0798546472664452,0.1993092878736983,0.0513763349496784,0.1121619919381928,0.0193668419741873,0.0067985166872682,0.0480779357556608,0.085136143230138,0.031700288184438,0.6020680999972698
2,5,Hobby,Humour,Lifestyle_(sociology),Entertainment,134294,95264,68261,18990,7227,18987,3507,2797,7043,146,0.1414061685555572,0.0538147646209063,0.1993092878736983,0.0513763349496784,0.0293605139402082,0.103177509851892,0.0010871669620385,0.0076882569773565,0.0202020202020202,0.0056000920563077,0.142865197525545
2,6,Hobby,Technology,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,6053,18987,3507,6052,420,857,0.1414061685555572,0.0450727508302679,0.1993092878736983,0.0513763349496784,0.0635287201881088,0.0061528544849914,0.0063815211401849,0.0451290152711953,0.1415826862712704,0.0354337219879269,1.0012483027969454
2,7,Hobby,Health,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,5982,18987,3507,5929,487,94,0.1414061685555572,0.0445440600473587,0.1993092878736983,0.0513763349496784,0.0622375713805844,0.0071343812718829,0.0006999568111754807,0.0049499736703528,0.0157138080909394,0.0037784387812525,0.1111253366911336
2,8,Hobby,Vehicle,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,5933,18987,3507,5926,432,599,0.1414061685555572,0.0441791889436609,0.1993092878736983,0.0513763349496784,0.0622060799462546,0.0063286503274197,0.0044603630839799,0.0315429173249078,0.1009607281307938,0.0246258839006742,0.7139768311530718
2,9,Hobby,Pet,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,4148,18987,3507,4136,1574,879,0.1414061685555572,0.0308874558803818,0.1993092878736983,0.0513763349496784,0.0434161907961034,0.0230585546651821,0.0065453408193962,0.0462875197472353,0.2119093539054966,0.0394896446381239,1.4985863493093607
2,10,Hobby,Fashion,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,3468,18987,3507,3461,245,1679,0.1414061685555572,0.0258239385229422,0.1993092878736983,0.0513763349496784,0.0363306180718844,0.003589165116245,0.0125024200634428,0.0884149552395997,0.4841407151095732,0.0808027335290437,3.423759515267247
2,11,Hobby,Tourism,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,2441,18987,3507,2441,207,496,0.1414061685555572,0.0181765380433973,0.1993092878736983,0.0513763349496784,0.0256235303997312,0.0030324782818886,0.0036933891313089,0.0261190100052659,0.2031954117165096,0.0236923811798423,1.436962855242598
2,12,Hobby,Physical_fitness,Lifestyle_(sociology),Lifestyle_(sociology),134294,95264,68261,18990,2371,18987,3507,2371,259,186,0.1414061685555572,0.0176552936095432,0.1993092878736983,0.0513763349496784,0.0248887302653678,0.0037942602657447,0.0013850209242408,0.0097946287519747,0.0784479122733024,0.0087839433293978,0.554770085878403
3,1,Television_program,Film,Entertainment,Entertainment,134294,95264,68261,8253,37403,1224,8118,10006,37342,5726,0.0614547187513961,0.2785157937063457,0.0128485052065838,0.1189258874027629,0.1050344306348673,0.5470473623298809,0.0426377946892638,0.6938083121289228,0.1530893243857444,0.1434009516654144,2.491091449056
3,2,Television_program,Hobby,Entertainment,Lifestyle_(sociology),134294,95264,68261,8253,18990,1224,8118,18987,3507,116,0.0614547187513961,0.1414061685555572,0.0128485052065838,0.1189258874027629,0.1993092878736983,0.0513763349496784,0.0008637764903867633,0.0140554949715255,0.0061084781463928,0.0042761824012976,0.0993980327386017
3,3,Television_program,Television_program,Entertainment,Entertainment,134294,95264,68261,8253,8253,1224,8118,1224,8118,8253,0.0614547187513961,0.0614547187513961,0.0128485052065838,0.1189258874027629,0.0128485052065838,0.1189258874027629,0.0614547187513961,1.0,1.0,1.0,16.272143462983156
3,4,Television_program,Food,Entertainment,Lifestyle_(sociology),134294,95264,68261,8253,10724,1224,8118,10685,1322,134,0.0614547187513961,0.0798546472664452,0.0128485052065838,0.1189258874027629,0.1121619919381928,0.0193668419741873,0.0009978107733778128,0.0162365200533139,0.0124953375606117,0.0071113941516743,0.2033259254046757
3,5,Television_program,Humour,Entertainment,Entertainment,134294,95264,68261,8253,7227,1224,8118,2797,7043,626,0.0614547187513961,0.0538147646209063,0.0128485052065838,0.1189258874027629,0.0293605139402082,0.103177509851892,0.0046614145084664,0.0758512056221979,0.0866196208661962,0.042143530362192,1.4094868974439545
3,6,Television_program,Technology,Entertainment,Lifestyle_(sociology),134294,95264,68261,8253,6053,1224,8118,6052,420,15,0.0614547187513961,0.0450727508302679,0.0128485052065838,0.1189258874027629,0.0635287201881088,0.0061528544849914,0.00011169523582587456,0.0018175209014903,0.0024781100280852,0.0010496116436918,0.0403241618940603
3,7,Television_program,Health,Entertainment,Lifestyle_(sociology),134294,95264,68261,8253,5982,1224,8118,5929,487,120,0.0614547187513961,0.0445440600473587,0.0128485052065838,0.1189258874027629,0.0622375713805844,0.0071343812718829,0.0008935618866069966,0.0145401672119229,0.0200601805416248,0.0085015940488841,0.3264221356666631
3,8,Television_program,Vehicle,Entertainment,Lifestyle_(sociology),134294,95264,68261,8253,5933,1224,8118,5926,432,24,0.0614547187513961,0.0441791889436609,0.0128485052065838,0.1189258874027629,0.0622060799462546,0.0063286503274197,0.0001787123773213993,0.0029080334423845,0.0040451710770267,0.0016946758932354,0.0658236040976901
