row_rank,label_a,role_a,n_a_channels,prevalence_a,denominator_channels,n_a_lifestyle_channels,n_a_entertainment_channels,prevalence_a_in_lifestyle,prevalence_a_in_entertainment
1,Film,Entertainment,37403,0.2785157937063457,134294,10006,37342,0.1050344306348673,0.5470473623298809
2,Hobby,Lifestyle_(sociology),18990,0.1414061685555572,134294,18987,3507,0.1993092878736983,0.0513763349496784
3,Television_program,Entertainment,8253,0.0614547187513961,134294,1224,8118,0.0128485052065838,0.1189258874027629
4,Food,Lifestyle_(sociology),10724,0.0798546472664452,134294,10685,1322,0.1121619919381928,0.0193668419741873
5,Humour,Entertainment,7227,0.0538147646209063,134294,2797,7043,0.0293605139402082,0.103177509851892
6,Technology,Lifestyle_(sociology),6053,0.0450727508302679,134294,6052,420,0.0635287201881088,0.0061528544849914
7,Health,Lifestyle_(sociology),5982,0.0445440600473587,134294,5929,487,0.0622375713805844,0.0071343812718829
8,Vehicle,Lifestyle_(sociology),5933,0.0441791889436609,134294,5926,432,0.0622060799462546,0.0063286503274197
9,Pet,Lifestyle_(sociology),4148,0.0308874558803818,134294,4136,1574,0.0434161907961034,0.0230585546651821
10,Fashion,Lifestyle_(sociology),3468,0.0258239385229422,134294,3461,245,0.0363306180718844,0.003589165116245
11,Tourism,Lifestyle_(sociology),2441,0.0181765380433973,134294,2441,207,0.0256235303997312,0.0030324782818886
12,Physical_fitness,Lifestyle_(sociology),2371,0.0176552936095432,134294,2371,259,0.0248887302653678,0.0037942602657447
