row_rank,col_rank,label_a,label_b,role_a,role_b,denominator_channels,n_a_channels,n_b_channels,n_both_channels,prevalence_a,prevalence_b,joint_prevalence,conditional_b_given_a,conditional_a_given_b,jaccard,lift_vs_independence
1,1,Lifestyle_(sociology),Lifestyle_(sociology),direct_parent,direct_parent,197664,95264,95264,95264,0.4819491662619394,0.4819491662619394,0.4819491662619394,1.0,1.0,1.0,2.0749076251259657
1,2,Lifestyle_(sociology),Entertainment,direct_parent,direct_parent,197664,95264,68261,29231,0.4819491662619394,0.3453385543143921,0.1478822648534887,0.3068420389654014,0.4282240225018678,0.2176642292284093,0.8885252895512387
1,3,Lifestyle_(sociology),Music_combined,direct_parent,lumped_music,197664,95264,44371,9157,0.4819491662619394,0.2244768900760887,0.0463260887162052,0.0961223547195162,0.206373532262063,0.0701804135563083,0.4282060157147341
1,4,Lifestyle_(sociology),Video_game_combined,direct_parent,lumped_video_game,197664,95264,24507,2602,0.4819491662619394,0.1239831228751821,0.0131637526307268,0.0273135707087672,0.106173746276574,0.0222072391161484,0.2203007157374531
1,5,Lifestyle_(sociology),Sport,direct_parent,direct_parent,197664,95264,7377,3686,0.4819491662619394,0.0373209082078678,0.0186478063785008,0.0386924756466241,0.4996611088518368,0.0372492547117376,1.0367506447355714
1,6,Lifestyle_(sociology),Vehicle,direct_parent,direct_parent_like,197664,95264,6008,5926,0.4819491662619394,0.0303950137607252,0.0299801683665209,0.0622060799462546,0.9863515312916112,0.0621525811255847,2.0465883133316365
2,1,Entertainment,Lifestyle_(sociology),direct_parent,direct_parent,197664,68261,95264,29231,0.3453385543143921,0.4819491662619394,0.1478822648534887,0.4282240225018678,0.3068420389654014,0.2176642292284093,0.8885252895512387
2,2,Entertainment,Entertainment,direct_parent,direct_parent,197664,68261,68261,68261,0.3453385543143921,0.3453385543143921,0.3453385543143921,1.0,1.0,1.0,2.8957091164793956
2,3,Entertainment,Music_combined,direct_parent,lumped_music,197664,68261,44371,10693,0.3453385543143921,0.2244768900760887,0.0540968512222761,0.1566487452571746,0.2409907371932118,0.1048960652939503,0.6978390746774735
2,4,Entertainment,Video_game_combined,direct_parent,lumped_video_game,197664,68261,24507,3219,0.3453385543143921,0.1239831228751821,0.0162852112676056,0.0471572347313986,0.1313502264659077,0.035946800075936,0.380352048228962
2,5,Entertainment,Sport,direct_parent,direct_parent,197664,68261,7377,1072,0.3453385543143921,0.0373209082078678,0.0054233446656953,0.0157044285902638,0.1453165243323844,0.014376525494193,0.4207943842843855
2,6,Entertainment,Vehicle,direct_parent,direct_parent_like,197664,68261,6008,432,0.3453385543143921,0.0303950137607252,0.0021855269548324,0.0063286503274197,0.0719041278295605,0.0058507252461503,0.2082134384685584
3,1,Music_combined,Lifestyle_(sociology),lumped_music,direct_parent,197664,44371,95264,9157,0.2244768900760887,0.4819491662619394,0.0463260887162052,0.206373532262063,0.0961223547195162,0.0701804135563083,0.4282060157147341
3,2,Music_combined,Entertainment,lumped_music,direct_parent,197664,44371,68261,10693,0.2244768900760887,0.3453385543143921,0.0540968512222761,0.2409907371932118,0.1566487452571746,0.1048960652939503,0.6978390746774735
3,3,Music_combined,Music_combined,lumped_music,lumped_music,197664,44371,44371,44371,0.2244768900760887,0.2244768900760887,0.2244768900760887,1.0,1.0,1.0,4.454801559577202
3,4,Music_combined,Video_game_combined,lumped_music,lumped_video_game,197664,44371,24507,550,0.2244768900760887,0.1239831228751821,0.0027824995952727,0.0123954835365441,0.0224425674297139,0.0080494087343402,0.0999771843868062
3,5,Music_combined,Sport,lumped_music,direct_parent,197664,44371,7377,152,0.2244768900760887,0.0373209082078678,0.0007689817063299336,0.0034256609046449,0.0206045818083231,0.0029459648034731,0.091789323174154
3,6,Music_combined,Vehicle,lumped_music,direct_parent_like,197664,44371,6008,91,0.2244768900760887,0.0303950137607252,0.0004603772057633155,0.0020508890942282,0.0151464713715046,0.0018095768374164,0.0674745242878704
4,1,Video_game_combined,Lifestyle_(sociology),lumped_video_game,direct_parent,197664,24507,95264,2602,0.1239831228751821,0.4819491662619394,0.0131637526307268,0.106173746276574,0.0273135707087672,0.0222072391161484,0.2203007157374531
4,2,Video_game_combined,Entertainment,lumped_video_game,direct_parent,197664,24507,68261,3219,0.1239831228751821,0.3453385543143921,0.0162852112676056,0.1313502264659077,0.0471572347313986,0.035946800075936,0.380352048228962
4,3,Video_game_combined,Music_combined,lumped_video_game,lumped_music,197664,24507,44371,550,0.1239831228751821,0.2244768900760887,0.0027824995952727,0.0224425674297139,0.0123954835365441,0.0080494087343402,0.0999771843868062
4,4,Video_game_combined,Video_game_combined,lumped_video_game,lumped_video_game,197664,24507,24507,24507,0.1239831228751821,0.1239831228751821,0.1239831228751821,1.0,1.0,1.0,8.065613906230874
4,5,Video_game_combined,Sport,lumped_video_game,direct_parent,197664,24507,7377,222,0.1239831228751821,0.0373209082078678,0.0011231180184555,0.0090586363079936,0.030093533956893,0.0070115595982565,0.2427228259703475
4,6,Video_game_combined,Vehicle,lumped_video_game,direct_parent_like,197664,24507,6008,184,0.1239831228751821,0.0303950137607252,0.0009308725918730776,0.0075080589219406,0.0306258322237017,0.0060664007121426,0.2470161382733822
5,1,Sport,Lifestyle_(sociology),direct_parent,direct_parent,197664,7377,95264,3686,0.0373209082078678,0.4819491662619394,0.0186478063785008,0.4996611088518368,0.0386924756466241,0.0372492547117376,1.0367506447355714
5,2,Sport,Entertainment,direct_parent,direct_parent,197664,7377,68261,1072,0.0373209082078678,0.3453385543143921,0.0054233446656953,0.1453165243323844,0.0157044285902638,0.014376525494193,0.4207943842843855
5,3,Sport,Music_combined,direct_parent,lumped_music,197664,7377,44371,152,0.0373209082078678,0.2244768900760887,0.0007689817063299336,0.0206045818083231,0.0034256609046449,0.0029459648034731,0.091789323174154
5,4,Sport,Video_game_combined,direct_parent,lumped_video_game,197664,7377,24507,222,0.0373209082078678,0.1239831228751821,0.0011231180184555,0.030093533956893,0.0090586363079936,0.0070115595982565,0.2427228259703475
5,5,Sport,Sport,direct_parent,direct_parent,197664,7377,7377,7377,0.0373209082078678,0.0373209082078678,0.0373209082078678,1.0,1.0,1.0,26.794631964213092
5,6,Sport,Vehicle,direct_parent,direct_parent_like,197664,7377,6008,630,0.0373209082078678,0.0303950137607252,0.0031872268091306,0.0854005693371289,0.1048601864181092,0.0493923951391611,2.8096901027720125
6,1,Vehicle,Lifestyle_(sociology),direct_parent_like,direct_parent,197664,6008,95264,5926,0.0303950137607252,0.4819491662619394,0.0299801683665209,0.9863515312916112,0.0622060799462546,0.0621525811255847,2.0465883133316365
6,2,Vehicle,Entertainment,direct_parent_like,direct_parent,197664,6008,68261,432,0.0303950137607252,0.3453385543143921,0.0021855269548324,0.0719041278295605,0.0063286503274197,0.0058507252461503,0.2082134384685584
6,3,Vehicle,Music_combined,direct_parent_like,lumped_music,197664,6008,44371,91,0.0303950137607252,0.2244768900760887,0.0004603772057633155,0.0151464713715046,0.0020508890942282,0.0018095768374164,0.0674745242878704
6,4,Vehicle,Video_game_combined,direct_parent_like,lumped_video_game,197664,6008,24507,184,0.0303950137607252,0.1239831228751821,0.0009308725918730776,0.0306258322237017,0.0075080589219406,0.0060664007121426,0.2470161382733822
6,5,Vehicle,Sport,direct_parent_like,direct_parent,197664,6008,7377,630,0.0303950137607252,0.0373209082078678,0.0031872268091306,0.1048601864181092,0.0854005693371289,0.0493923951391611,2.8096901027720125
6,6,Vehicle,Vehicle,direct_parent_like,direct_parent_like,197664,6008,6008,6008,0.0303950137607252,0.0303950137607252,0.0303950137607252,1.0,1.0,1.0,32.900133155792275
