row_rank,col_rank,parent_a,parent_b,empirical_role_a,empirical_role_b,n_nonempty_channels,n_parent_a_channels,n_parent_b_channels,n_both_channels,prevalence_a,prevalence_b,joint_prevalence,conditional_b_given_a,conditional_a_given_b,jaccard,lift_vs_independence
1,1,Lifestyle_(sociology),Lifestyle_(sociology),empirical_parent,empirical_parent,197664,95264,95264,95264,0.4819491662619394,0.4819491662619394,0.4819491662619394,1.0,1.0,1.0,2.0749076251259657
1,2,Lifestyle_(sociology),Entertainment,empirical_parent,empirical_parent,197664,95264,68261,29231,0.4819491662619394,0.3453385543143921,0.1478822648534887,0.3068420389654014,0.4282240225018678,0.2176642292284093,0.8885252895512387
1,3,Lifestyle_(sociology),Music,empirical_parent,empirical_parent,197664,95264,43599,8660,0.4819491662619394,0.2205712724623603,0.0438117209001133,0.0909052737655357,0.1986284089084612,0.0665115243120358,0.4121356002108045
1,4,Lifestyle_(sociology),Video_game_culture,empirical_parent,empirical_parent,197664,95264,24436,2566,0.4819491662619394,0.1236239274728832,0.0129816253844908,0.0269356734968088,0.1050090031101653,0.0219065343965031,0.2178839812601582
1,5,Lifestyle_(sociology),Pop_music,empirical_parent,intermediate_or_crosscutting_parent,197664,95264,20419,2375,0.4819491662619394,0.1033015622470455,0.0120153391614052,0.0249307188444743,0.1163132376707968,0.0209605676562996,0.241339223746225
1,6,Lifestyle_(sociology),Action_game,empirical_parent,intermediate_or_crosscutting_parent,197664,95264,15525,603,0.4819491662619394,0.0785423749392909,0.0030506313744536,0.0063297783003023,0.0388405797101449,0.0054725645726317,0.0805906150048925
1,7,Lifestyle_(sociology),Role-playing_video_game,empirical_parent,intermediate_or_crosscutting_parent,197664,95264,14984,471,0.4819491662619394,0.0758054071555771,0.0023828314715881,0.0049441551897883,0.0314335290977042,0.0042905162283538,0.0652216692094454
1,8,Lifestyle_(sociology),Sport,empirical_parent,empirical_parent,197664,95264,7377,3686,0.4819491662619394,0.0373209082078678,0.0186478063785008,0.0386924756466241,0.4996611088518368,0.0372492547117376,1.0367506447355714
1,9,Lifestyle_(sociology),Vehicle,empirical_parent,intermediate_or_crosscutting_parent,197664,95264,6008,5926,0.4819491662619394,0.0303950137607252,0.0299801683665209,0.0622060799462546,0.9863515312916112,0.0621525811255847,2.0465883133316365
2,1,Entertainment,Lifestyle_(sociology),empirical_parent,empirical_parent,197664,68261,95264,29231,0.3453385543143921,0.4819491662619394,0.1478822648534887,0.4282240225018678,0.3068420389654014,0.2176642292284093,0.8885252895512387
2,2,Entertainment,Entertainment,empirical_parent,empirical_parent,197664,68261,68261,68261,0.3453385543143921,0.3453385543143921,0.3453385543143921,1.0,1.0,1.0,2.8957091164793956
