language_code,canonical_iso639_3,display_name,mapping_source
aaa,aaa,Ghotuo,iso639_3
aab,aab,Alumu-Tesu,iso639_3
aac,aac,Ari,iso639_3
aad,aad,Amal,iso639_3
aae,aae,Arbëreshë Albanian,iso639_3
aaf,aaf,Aranadan,iso639_3
aag,aag,Ambrak,iso639_3
aah,aah,Abu' Arapesh,iso639_3
aai,aai,Arifama-Miniafia,iso639_3
aak,aak,Ankave,iso639_3
aal,aal,Afade,iso639_3
aan,aan,Anambé,iso639_3
aao,aao,Algerian Saharan Arabic,iso639_3
aap,aap,Pará Arára,iso639_3
aaq,aaq,Eastern Abnaki,iso639_3
aar,aar,Afar,iso639_3
aas,aas,Aasáx,iso639_3
aat,aat,Arvanitika Albanian,iso639_3
aau,aau,Abau,iso639_3
aav,aav,Austro-Asiatic languages,iso639_5_collection
aaw,aaw,Solong,iso639_3
aax,aax,Mandobo Atas,iso639_3
aaz,aaz,Amarasi,iso639_3
aba,aba,Abé,iso639_3
abb,abb,Bankon,iso639_3
abc,abc,Ambala Ayta,iso639_3
abd,abd,Manide,iso639_3
abe,abe,Western Abnaki,iso639_3
abf,abf,Abai Sungai,iso639_3
abg,abg,Abaga,iso639_3
abh,abh,Tajiki Arabic,iso639_3
abi,abi,Abidji,iso639_3
abj,abj,Aka-Bea,iso639_3
abk,abk,Abkhazian,iso639_3
abl,abl,Lampung Nyo,iso639_3
abm,abm,Abanyom,iso639_3
abn,abn,Abua,iso639_3
abo,abo,Abon,iso639_3
abp,abp,Abellen Ayta,iso639_3
abq,abq,Abaza,iso639_3
abr,abr,Abron,iso639_3
abs,abs,Ambonese Malay,iso639_3
abt,abt,Ambulas,iso639_3
abu,abu,Abure,iso639_3
abv,abv,Baharna Arabic,iso639_3
abw,abw,Pal,iso639_3
abx,abx,Inabaknon,iso639_3
aby,aby,Aneme Wake,iso639_3
abz,abz,Abui,iso639_3
aca,aca,Achagua,iso639_3
acb,acb,Áncá,iso639_3
acd,acd,Gikyode,iso639_3
ace,ace,Achinese,iso639_3
acf,acf,Saint Lucian Creole French,iso639_3
ach,ach,Acoli,iso639_3
aci,aci,Aka-Cari,iso639_3
ack,ack,Aka-Kora,iso639_3
acl,acl,Akar-Bale,iso639_3
acm,acm,Mesopotamian Arabic,iso639_3
acn,acn,Achang,iso639_3
acp,acp,Eastern Acipa,iso639_3
acq,acq,Ta'izzi-Adeni Arabic,iso639_3
acr,acr,Achi,iso639_3
acs,acs,Acroá,iso639_3
act,act,Achterhoeks,iso639_3
acu,acu,Achuar-Shiwiar,iso639_3
acv,acv,Achumawi,iso639_3
acw,acw,Hijazi Arabic,iso639_3
acx,acx,Omani Arabic,iso639_3
acy,acy,Cypriot Arabic,iso639_3
acz,acz,Acheron,iso639_3
ada,ada,Adangme,iso639_3
adb,adb,Atauran,iso639_3
add,add,Lidzonka,iso639_3
ade,ade,Adele,iso639_3
adf,adf,Dhofari Arabic,iso639_3
adg,adg,Andegerebinha,iso639_3
adh,adh,Adhola,iso639_3
adi,adi,Adi,iso639_3
adj,adj,Adioukrou,iso639_3
adl,adl,Galo,iso639_3
adn,adn,Adang,iso639_3
ado,ado,Abu,iso639_3
adq,adq,Adangbe,iso639_3
adr,adr,Adonara,iso639_3
ads,ads,Adamorobe Sign Language,iso639_3
adt,adt,Adnyamathanha,iso639_3
adu,adu,Aduge,iso639_3
adw,adw,Amundava,iso639_3
adx,adx,Amdo Tibetan,iso639_3
ady,ady,Adyghe,iso639_3
adz,adz,Adzera,iso639_3
aea,aea,Areba,iso639_3
aeb,aeb,Tunisian Arabic,iso639_3
aec,aec,Saidi Arabic,iso639_3
aed,aed,Argentine Sign Language,iso639_3
aee,aee,Northeast Pashai,iso639_3
aek,aek,Haeke,iso639_3
ael,ael,Ambele,iso639_3
aem,aem,Arem,iso639_3
aen,aen,Armenian Sign Language,iso639_3
aeq,aeq,Aer,iso639_3
aer,aer,Eastern Arrernte,iso639_3
aes,aes,Alsea,iso639_3
aeu,aeu,Akeu,iso639_3
aew,aew,Ambakich,iso639_3
aey,aey,Amele,iso639_3
aez,aez,Aeka,iso639_3
afa,afa,Afro-Asiatic languages,iso639_5_collection
afb,afb,Gulf Arabic,iso639_3
afd,afd,Andai,iso639_3
afe,afe,Putukwam,iso639_3
afg,afg,Afghan Sign Language,iso639_3
afh,afh,Afrihili,iso639_3
afi,afi,Akrukay,iso639_3
afk,afk,Nanubae,iso639_3
afn,afn,Defaka,iso639_3
afo,afo,Eloyi,iso639_3
afp,afp,Tapei,iso639_3
afr,afr,Afrikaans,iso639_3
afs,afs,Afro-Seminole Creole,iso639_3
aft,aft,Afitti,iso639_3
afu,afu,Awutu,iso639_3
afz,afz,Obokuitai,iso639_3
aga,aga,Aguano,iso639_3
agb,agb,Legbo,iso639_3
agc,agc,Agatu,iso639_3
agd,agd,Agarabi,iso639_3
age,age,Angal,iso639_3
agf,agf,Arguni,iso639_3
agg,agg,Angor,iso639_3
agh,agh,Ngelima,iso639_3
agi,agi,Agariya,iso639_3
agj,agj,Argobba,iso639_3
agk,agk,Isarog Agta,iso639_3
agl,agl,Fembe,iso639_3
agm,agm,Angaataha,iso639_3
agn,agn,Agutaynen,iso639_3
ago,ago,Tainae,iso639_3
agq,agq,Aghem,iso639_3
agr,agr,Aguaruna,iso639_3
ags,ags,Esimbi,iso639_3
agt,agt,Central Cagayan Agta,iso639_3
agu,agu,Aguacateco,iso639_3
agv,agv,Remontado Dumagat,iso639_3
agw,agw,Kahua,iso639_3
agx,agx,Aghul,iso639_3
agy,agy,Southern Alta,iso639_3
agz,agz,Mt. Iriga Agta,iso639_3
aha,aha,Ahanta,iso639_3
ahb,ahb,Axamb,iso639_3
ahg,ahg,Qimant,iso639_3
ahh,ahh,Aghu,iso639_3
ahi,ahi,Tiagbamrin Aizi,iso639_3
ahk,ahk,Akha,iso639_3
ahl,ahl,Igo,iso639_3
ahm,ahm,Mobumrin Aizi,iso639_3
ahn,ahn,Àhàn,iso639_3
aho,aho,Ahom,iso639_3
ahp,ahp,Aproumu Aizi,iso639_3
ahr,ahr,Ahirani,iso639_3
ahs,ahs,Ashe,iso639_3
aht,aht,Ahtena,iso639_3
aia,aia,Arosi,iso639_3
aib,aib,Ainu (China),iso639_3
aic,aic,Ainbai,iso639_3
aid,aid,Alngith,iso639_3
aie,aie,Amara,iso639_3
aif,aif,Agi,iso639_3
aig,aig,Antigua and Barbuda Creole English,iso639_3
aih,aih,Ai-Cham,iso639_3
aii,aii,Assyrian Neo-Aramaic,iso639_3
aij,aij,Lishanid Noshan,iso639_3
aik,aik,Ake,iso639_3
ail,ail,Aimele,iso639_3
aim,aim,Aimol,iso639_3
ain,ain,Ainu (Japan),iso639_3
aio,aio,Aiton,iso639_3
aip,aip,Burumakok,iso639_3
aiq,aiq,Aimaq,iso639_3
air,air,Airoran,iso639_3
ait,ait,Arikem,iso639_3
aiw,aiw,Aari,iso639_3
aix,aix,Aighon,iso639_3
aiy,aiy,Ali,iso639_3
aja,aja,Aja (South Sudan),iso639_3
ajg,ajg,Aja (Benin),iso639_3
aji,aji,Ajië,iso639_3
ajn,ajn,Andajin,iso639_3
ajp,ajp,South Levantine Arabic,iso639_3
ajs,ajs,Algerian Jewish Sign Language,iso639_3
aju,aju,Judeo-Moroccan Arabic,iso639_3
ajw,ajw,Ajawa,iso639_3
ajz,ajz,Amri Karbi,iso639_3
aka,aka,Akan,iso639_3
akb,akb,Batak Angkola,iso639_3
akc,akc,Mpur,iso639_3
akd,akd,Ukpet-Ehom,iso639_3
ake,ake,Akawaio,iso639_3
akf,akf,Akpa,iso639_3
akg,akg,Anakalangu,iso639_3
akh,akh,Angal Heneng,iso639_3
aki,aki,Aiome,iso639_3
akj,akj,Aka-Jeru,iso639_3
akk,akk,Akkadian,iso639_3
akl,akl,Aklanon,iso639_3
akm,akm,Aka-Bo,iso639_3
ako,ako,Akurio,iso639_3
akp,akp,Siwu,iso639_3
akq,akq,Ak,iso639_3
akr,akr,Araki,iso639_3
aks,aks,Akaselem,iso639_3
akt,akt,Akolet,iso639_3
aku,aku,Akum,iso639_3
akv,akv,Akhvakh,iso639_3
akw,akw,Akwa,iso639_3
akx,akx,Aka-Kede,iso639_3
aky,aky,Aka-Kol,iso639_3
akz,akz,Alabama,iso639_3
ala,ala,Alago,iso639_3
alb,sqi,Albanian,iso639_2_bibliographic_alias
alc,alc,Qawasqar,iso639_3
ald,ald,Alladian,iso639_3
ale,ale,Aleut,iso639_3
alf,alf,Alege,iso639_3
alg,alg,Algonquian languages,iso639_5_collection
alh,alh,Alawa,iso639_3
ali,ali,Amaimon,iso639_3
alj,alj,Alangan,iso639_3
alk,alk,Alak,iso639_3
all,all,Allar,iso639_3
alm,alm,Amblong,iso639_3
aln,aln,Gheg Albanian,iso639_3
alo,alo,Larike-Wakasihu,iso639_3
alp,alp,Alune,iso639_3
