rank,channel_id,channel_name_title,language_code,view_count_4wk,pct_total_4wk_views,original_canonical_slugs,original_display_families,original_display_leaves,revised_primary_canonical_slug,revised_primary_family,revised_primary_leaf,revised_primary_path,primary_tag_level,decision_type,non_primary_canonical_slugs,non_primary_display_paths_to_retain_as_metadata,suppressed_child_paths_because_family_is_better,needs_manual_review,manual_review_priority,decision_note
1,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,eng,6482762066,0.29079250102919835,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit than Lifestyle among broad parent tags.
2,UCih1i6fn1lWatsSIQSDgnsA,Korean drama production,en,5463191794,0.24505838548532236,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit among broad parent tags.
3,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,eng,5301963809,0.23782630006914784,film; pop_music; music; music_of_asia; soul_music,Entertainment; Music,Movies; Music of Asia; Pop music; Soul music,music_of_asia,Music,Music of Asia,Music > Music of Asia,child,child_tag_preferred,film; pop_music; music; soul_music,Entertainment > Movies; Music > Pop music; Music > [Music] - unspecified; Music > Soul music,,False,low,Music of Asia is the best available specific music tag; Film/Pop/Soul retained as secondary.
4,UCGvGMmyEWp9hxDqmfLJbpkQ,Cadel and Mia,en,4795990726,0.21513023676139661,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,True,medium,Lifestyle is the better broad family fit among parent tags.
5,UC4wEPe5mrHGAUjjTfXH_C-Q,Anaya Kandhal,hi,4634534434,0.20788791034565174,lifestyle,Lifestyle,[Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,already_single_family,,,,False,low,Only broad Lifestyle tag is available.
6,UCiVs2pnGW5mLIc1jS2nxhjg,김프로KIMPRO,ko,4538151620,0.20356453718249237,entertainment,Entertainment,[Entertainment] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,already_single_family,,,,False,low,Only broad Entertainment tag is available.
7,UC5OVPGQqCUm0CCyVzELGITQ,Jasmin and James,en,4386208486,0.19674893551452355,lifestyle; entertainment; performing_arts; hobby,Entertainment; Lifestyle,Hobby; Performing arts,performing_arts,Entertainment,Performing arts,Entertainment > Performing arts,child,child_tag_preferred,lifestyle; entertainment; hobby,Lifestyle > [Lifestyle] - unspecified; Entertainment > [Entertainment] - unspecified; Lifestyle > Hobby,,False,low,Performing arts is more substantive than Hobby among available child tags.
8,UCL5nlHWXVLeOsSjKH2fhmsg,KL BRO Biju Rithvik,ml,3811094351,0.17095146277200102,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,True,medium,Lifestyle is the better broad family fit among parent tags.
9,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,eng,3542006052,0.15888116639720534,film; music_of_asia; music; pop_music,Entertainment; Music,Movies; Music of Asia; Pop music,music_of_asia,Music,Music of Asia,Music > Music of Asia,child,child_tag_preferred,film; music; pop_music,Entertainment > Movies; Music > [Music] - unspecified; Music > Pop music,,False,low,Music of Asia is the best available specific music tag; Film and Pop retained as secondary.
10,UC-tw06woNZ-x2OxQKjuI8SQ,iif Ridwan,en,3045661461,0.1366170012898376,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit among broad parent tags.
11,UCMNv-1GN84NnA2uikngyCvQ,MR. Manu75,en,2947631288,0.13221973375282553,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,True,medium,Entertainment is the better top-level fit among broad parent tags.
12,UC1a2ZCw7tugRZYRMnecNj3A,Celine Dept,en,2885213220,0.1294198922781052,football; sport,Other / Unmapped YouTube topic; Sports,Football; Unmapped: sport,football,Sports,Football,Sports > Football,child,child_tag_preferred,sport,Other / Unmapped YouTube topic > Unmapped: sport,,False,low,Football is the specific child tag; broad sport/unmapped parent is suppressed.
13,UCOtQCJMkhhR5p71J4fkyRQg,JEEZY,eng,2878420241,0.12911518460370064,music; hip_hop_music; lifestyle,Lifestyle; Music,Hip hop music; [Lifestyle] - unspecified,hip_hop_music,Music,Hip hop music,Music > Hip hop music,child,child_tag_preferred,music; lifestyle,Music > [Music] - unspecified; Lifestyle > [Lifestyle] - unspecified,,False,low,Hip hop music is the best available specific music tag.
14,UCJfNJmcv6LXCDsaa2kB_-7A,MaviGadget,en-US,2875004292,0.12896195788598602,technology; lifestyle,Lifestyle,Technology,technology,Lifestyle,Technology,Lifestyle > Technology,child,child_tag_preferred,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Technology is the best available specific tag under the current hierarchy.
15,UCcji4rkt-LgVkSD-KMVqAKg,Mr sahitya facts,en,2838419278,0.1273208907585891,lifestyle,Lifestyle,[Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,already_single_family,,,,False,low,Only broad Lifestyle tag is available.
